304214.696837  ,  0.001995
223194.951124  ,  7.115595
203639.727312  ,  14.065816
204855.911388  ,  20.886753
276342.054687  ,  27.924073
250260.341499  ,  35.076601
272434.179328  ,  42.137744
275235.384084  ,  49.110001
238368.85486  ,  56.117099
291765.240552  ,  63.174089
202777.098161  ,  70.298659
228189.347219  ,  77.397296
212566.963001  ,  84.743296
209166.187212  ,  91.915995
263038.149587  ,  99.42022
345477.802631  ,  106.565911
203571.560829  ,  113.845835
217105.550034  ,  121.02381
208246.681576  ,  128.322418
221581.89992  ,  135.490277
221591.580462  ,  143.116734
207632.158695  ,  150.436022
261540.235853  ,  157.715413
208067.704385  ,  165.034521
202729.084281  ,  172.394205
196256.233847  ,  179.587092
264344.38265  ,  186.805278
212507.310605  ,  194.021872
192613.113292  ,  201.798174
223365.999561  ,  209.464063
306181.00846  ,  217.09109
224258.869982  ,  224.665
222231.026522  ,  232.478979
207850.009511  ,  240.408863
219193.558061  ,  248.14414
202723.664964  ,  256.062009
254678.695283  ,  263.87508
223320.115388  ,  271.501373
250901.937204  ,  279.095959
254680.301414  ,  286.535736
241783.360473  ,  293.990193
222918.820479  ,  301.657289
246252.589028  ,  309.245182
206707.038461  ,  316.720919
263125.803867  ,  324.57338
212868.941414  ,  332.166252
260184.124582  ,  339.889282
278640.089455  ,  347.514519
195434.617771  ,  355.565959
212778.439868  ,  363.325415
225133.319982  ,  371.396799
197133.920131  ,  379.036293
234930.657497  ,  386.537736
209105.568142  ,  394.144559
200899.3159  ,  401.871398
208367.43077  ,  409.361221
211184.509489  ,  417.026945
237144.610971  ,  424.69096
228428.886982  ,  432.225266
199560.095739  ,  439.985512
292756.292807  ,  447.557162
233819.148417  ,  455.109643
256242.903976  ,  462.511185
208097.071485  ,  470.076764
214513.103316  ,  477.759946
203409.057592  ,  485.327849
354071.444609  ,  492.915424
212426.747818  ,  500.991132
202007.051819  ,  508.810453
297066.139714  ,  516.442537
213559.219426  ,  523.910905
220965.388883  ,  531.485905
238938.543732  ,  538.950832
247904.067215  ,  546.473659
209568.467383  ,  553.979197
220104.159769  ,  561.540679
244489.987173  ,  569.101208
246881.523417  ,  577.027767
334529.470602  ,  585.130759
241671.748689  ,  593.236314
197504.376659  ,  601.65943
195784.110369  ,  610.640772
201377.359486  ,  619.044176
189527.689874  ,  627.230917
214539.330997  ,  635.409896
268310.020468  ,  643.159697
205128.157733  ,  650.63785
213291.827307  ,  658.239353
294577.012917  ,  666.28895
216130.268168  ,  674.079356
344664.798662  ,  682.061721
233625.551669  ,  689.857852
208283.730576  ,  697.829133
232765.261616  ,  705.876494
215160.961522  ,  713.857494
200661.290155  ,  721.660853
211689.210528  ,  729.526627
203607.166305  ,  737.583855
219270.354614  ,  745.474423
197374.982948  ,  753.331578
